832
1871
 461   15    4    0
 462   15    3    1
 463   15    3    0
 512   12    5    0
 513   12    5    1
 514   12    6    0
 515   12    6    1
 516   11    5    0
 517   11    5    1
 518   11    6    0
 519   11    6    1
 520    9    6    1
 521    9    6    0
 522    9    5    1
 523    9    5    0
 524   10    6    1
 525   10    6    0
 526   10    5    1
 527   10    5    0
 544    4    6    0
 545    4    6    1
 546    4    5    0
 547    4    5    1
 548    3    6    0
 549    3    6    1
 550    3    5    0
 551    3    5    1
 552    1    5    1
 553    1    5    0
 554    1    6    1
 555    1    6    0
 556    2    5    1
 557    2    5    0
 558    2    6    1
 559    2    6    0
 560    5    6    0
 561    5    6    1
 562    5    5    0
 563    5    5    1
 564    6    6    0
 565    6    6    1
 566    6    5    0
 567    6    5    1
 568    8    5    1
 569    8    5    0
 570    8    6    1
 571    8    6    0
 572    7    5    1
 573    7    5    0
 574    7    6    1
 575    7    6    0
 576   13    5    0
 577   13    5    1
 578   13    6    0
 579   13    6    1
 580   14    5    0
 581   14    5    1
 582   14    6    0
 583   14    6    1
 584   16    6    1
 585   16    6    0
 586   16    5    1
 587   16    5    0
 588   15    6    1
 589   15    6    0
 590   15    5    1
 591   15    5    0
 640   12    7    0
 641   12    7    1
 642   12    8    0
 643   12    8    1
 644   11    7    0
 645   11    7    1
 646   11    8    0
 647   11    8    1
 648    9    8    1
 649    9    8    0
 650    9    7    1
 651    9    7    0
 652   10    8    1
 653   10    8    0
 654   10    7    1
 655   10    7    0
 672    4    8    0
 673    4    8    1
 674    4    7    0
 675    4    7    1
 676    3    8    0
 677    3    8    1
 678    3    7    0
 679    3    7    1
 680    1    7    1
 681    1    7    0
 682    1    8    1
 683    1    8    0
 684    2    7    1
 685    2    7    0
 686    2    8    1
 687    2    8    0
 688    5    8    0
 689    5    8    1
 690    5    7    0
 691    5    7    1
 692    6    8    0
 693    6    8    1
 694    6    7    0
 695    6    7    1
 696    8    7    1
 697    8    7    0
 698    8    8    1
 699    8    8    0
 700    7    7    1
 701    7    7    0
 702    7    8    1
 703    7    8    0
 704   13    7    0
 705   13    7    1
 706   13    8    0
 707   13    8    1
 708   14    7    0
 709   14    7    1
 710   14    8    0
 711   14    8    1
 712   16    8    1
 713   16    8    0
 714   16    7    1
 715   16    7    0
 716   15    8    1
 717   15    8    0
 718   15    7    1
 719   15    7    0
 768   12    9    0
 769   12    9    1
 770   12   10    0
 771   12   10    1
 772   11    9    0
 773   11    9    1
 774   11   10    0
 775   11   10    1
 776    9   10    1
 777    9   10    0
 778    9    9    1
 779    9    9    0
 780   10   10    1
 781   10   10    0
 782   10    9    1
 783   10    9    0
 800    4   10    0
 801    4   10    1
 802    4    9    0
 803    4    9    1
 804    3   10    0
 805    3   10    1
 806    3    9    0
 807    3    9    1
 808    1    9    1
 809    1    9    0
 810    1   10    1
 811    1   10    0
 812    2    9    1
 813    2    9    0
 814    2   10    1
 815    2   10    0
 816    5   10    0
 817    5   10    1
 818    5    9    0
 819    5    9    1
 820    6   10    0
 821    6   10    1
 822    6    9    0
 823    6    9    1
 824    8    9    1
 825    8    9    0
 826    8   10    1
 827    8   10    0
 828    7    9    1
 829    7    9    0
 830    7   10    1
 831    7   10    0
 832   13    9    0
 833   13    9    1
 834   13   10    0
 835   13   10    1
 836   14    9    0
 837   14    9    1
 838   14   10    0
 839   14   10    1
 840   16   10    1
 841   16   10    0
 842   16    9    1
 843   16    9    0
 844   15   10    1
 845   15   10    0
 846   15    9    1
 847   15    9    0
 896   12   11    0
 897   12   11    1
 898   12   12    0
 899   12   12    1
 900   11   11    0
 901   11   11    1
 902   11   12    0
 903   11   12    1
 904    9   12    1
 905    9   12    0
